_source_file,"Station 
Code",Monitoring Location,State,"Temperature 
(°C)",_blank_,"Dissolved 
Oxygen 
(mg/L)",_blank___1,pH,_blank___2,"Conductivity 
(µmho/cm)",_blank___3,"BOD 
(mg/L)",_blank___4,"Nitrate N 
(mg/L)",_blank___5,"Fecal Coliform  
(MPN/100ml)",_blank___6,"Total Coliform  
(MPN/100ml)",_blank___7,"Fecal 
Streptococci 
(MPN/100ml)",_blank___8,State Name,"STN 
Code","NitrateN 
(mg/L)",0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,"Station  
Code"
table_0.csv,2603,"RIVER BEAS, D/S PANDOH DAM","HIMACHAL 
PRADESH",8.0,26.0,8.0,9.3,,7.1  8.2,61,202,1.0,1.0,0.32,1.15,41,110,210,920,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1005,RIVER BEAS AT EXIT OF  DEHAR POWER HOUSE,"HIMACHAL 
PRADESH",10.0,28.0,8.1,9.1,,6.9  8.1,96,280,1.0,1.0,0.32,0.95,17,94,63,350,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1550,"BEAS RIVER, U/S OF MANDI TOWN","HIMACHAL 
PRADESH",6.0,25.0,7.8,9.2,,7.2  8.0,80,190,1.0,1.0,0.32,0.98,23,94,120,430,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1006,RIVER BEAS D/S MANDI TOWN,"HIMACHAL 
PRADESH",8.0,25.0,8.3,9.1,,7.0  8.0,84,191,1.0,1.0,0.51,5.30,41,280,220,1600,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,2604,RIVER BEAS AT D/S JAISINGHPUR,"HIMACHAL 
PRADESH",13.0,22.0,8.6,9.4,,7.2  8.2,115,362,1.0,1.0,1.20,4.83,2,68,110,16000,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1007,RIVER BEAS AT D/S ALAMPUR,"HIMACHAL 
PRADESH",13.0,22.0,8.5,9.2,,7.3  8.3,123,960,1.0,1.0,0.98,4.21,2,45,70,9200,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,3855,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI","HIMACHAL 
PRADESH",14.0,22.0,6.8,9.3,,7.5  8.5,81,404,1.0,1.2,0.30,2.53,2,93,39,5400,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 mL",,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1292,"RIVER BEAS AT PONG DAM ,PONG VILLAGE",,7.0,19.0,8.2,9.1,,7.5  8.5,157,257,1.0,1.0,0.41,3.57,2,78,220,5400,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1009,RIVER BEAS AT D/S PONG DAM,,8.0,20.0,8.1,9.2,,7.4  8.2,158,264,1.0,1.0,0.73,2.87,2,68,170,5400,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1008,RIVER BEAS AT D/S DEHRAGOPIPUR,,15.0,22.0,6.7,9.2,,7.2  8.2,107,386,1.0,1.0,1.08,3.27,2,110,40,5400,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4435,RIVER BEAS U/S SUJANPUR TIHRA,,15.0,28.0,7.7,9.0,,6.9  8.8,241,964,1.0,4.8,0.32,2.59,2,5,17,170,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4436,RIVER BEAS D/S SUJANPUR TIHRA,,14.9,28.0,7.6,8.8,,7.0  8.2,229,545,1.0,3.6,0.32,3.12,2,5,17,220,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4437,RIVER BEAS U/S NADAUM TOWN,,15.6,27.0,6.7,8.9,,7.4  8.3,241,,3040  1.0,2.8,0.30,1.17,2,8,17,170,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4438,"RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE 
OF MAAN KHAD",,15.5,28.0,7.8,8.9,,7.2  8.4,216,397,1.0,3.4,0.32,1.16,2,8,21,140,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4443,RIVER BEAS AT RAISON,,3.0,15.0,7.8,8.7,,6.8  8.2,53,137,1.0,1.0,0.32,0.96,47,140,220,920,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,5765,RIVER BEAS D/S NEW BAJAURA BRIDGE,,4.0,16.0,7.5,8.5,,7.0  8.1,56,281,1.0,1.0,0.32,0.84,58,140,280,920,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,30083,RIVER BEAS AT TALWARA (PONG DAM),,17.5,27.0,,7.2  10.0  8.1  8.6,,,174,230,1.0,2.0,0.37,2.57,11,3800,46,17000,2,5,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,30084,"RIVER BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",,18.0,28.0,,5.8  10.7  8.0  8.4,,,201,226,1.0,1.1,0.40,2.17,110,22000,270,92000,7,1400,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1693,"RIVER BEAS AT TALWARA H/W, PUNJAB",,13.0,33.0,,6.7  10.1  7.4  8.2,,,178,244,1.0,1.2,0.70,1.20,18,46,70,150,-,-,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1694,"RIVER BEAS AT U/S PATHANKOT, PUNJAB",,11.0,34.0,7.7,9.1,,7.7  8.3,198,359,1.0,1.2,0.40,1.11,27,93,110,240,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1010,"RIVER BEAS AT MIRTHAL BRIDGE, GURDASPUR",,11.0,34.0,7.7,9.1,,7.5  8.3,204,395,1.0,1.3,0.60,0.90,26,78,94,170,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1695,"RIVER BEAS D/S PATHANKOT, PUNJAB",,11.0,34.0,7.4,8.9,,7.5  8.3,218,295,1.0,1.2,0.50,1.10,31,140,120,330,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1294,"RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT 
MUKERIAN , PUNJAB",,15.0,27.0,7.0,9.1,,7.6  8.2,203,275,1.0,1.3,0.70,1.40,27,140,110,340,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1696,"RIVER BEAS U/S GOINDWAL, PUNJAB",,14.0,28.0,8.0,9.2,,7.5  8.2,191,245,1.0,1.2,0.40,1.05,68,140,220,330,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1697,"RIVER BEAS AT HARIKE, PUNJAB",,14.0,28.0,8.1,9.1,,7.7  8.2,201,256,1.0,1.2,0.60,1.31,120,210,280,400,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1011,"RIVER BEAS AT G.T. ROAD UNDER BDG. NEAR 
KAPURTHALA",,16.0,28.0,6.9,9.4,,7.8  8.2,190,276,1.0,1.4,0.50,0.97,63,170,220,380,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1012,RIVER BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,,14.0,28.0,7.9,8.9,,7.8  8.1,203,264,1.0,1.3,0.50,1.10,93,170,260,380,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4164,"RIVER BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL 
BATALA, GURDASPUR",,16.0,27.0,6.5,9.2,,7.7  8.2,192,288,1.0,1.3,0.60,1.00,33,170,140,350,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,5504,RIVER BEAS AT  KARMOWALA  VILLAGE,,26.0,27.0,7.9,8.8,,7.9  8.1,211,240,1.0,1.2,0.70,0.97,84,130,260,280,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,5505,RIVER BEAS AT  CHAMBA KALAN,,26.0,27.0,7.9,9.0,,7.9  8.1,208,239,1.0,1.1,0.70,0.93,70,110,220,370,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,5506,RIVER BEAS AT KAMBOH DAHIWALA,,26.0,27.0,7.8,8.9,,7.8  8.0,209,241,1.0,1.1,0.80,0.97,94,140,280,340,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 Ml",,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,3284,RIVER SINDH AT SONAMARG D/S,,4.1,10.8,,7.3  10.2  7.3  8.4,,,203,454,1.0,1.8,0.00,0.00,,,,,,,"JAMMU & 
KASHMIR",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,3285,RIVER SINDH AT WAIL BRIDGE,,3.5,16.0,,7.2  10.9  7.6  8.3,,,143,340,1.0,2.0,0.00,0.00,,,,,,,"JAMMU & 
KASHMIR",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,3286,RIVER SINDH AT DUDERHAMA,,4.1,17.2,7.4,9.7,,7.4  8.2,146,344,1.0,2.6,0.00,0.00,,,,,,,"JAMMU & 
KASHMIR",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,3287,"RIVER SINDH AT RANGIL, SRINAGAR",,4.0,18.8,,7.5  10.8  7.5  8.2,,,156,359,1.0,2.6,0.00,0.00,,,,,,,"JAMMU & 
KASHMIR",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4023,MANJHI KHAD U/S DHARAMSHALA OF KHANIYARA,,11.0,20.0,8.2,9.1,,7.5  8.4,59,228,1.0,1.0,0.41,2.76,2,20,22,3500,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4024,MANJHI KHAD D/S DHARAMSHALA AT CHETRU,,12.0,20.0,8.2,9.2,,7.6  8.5,59,242,1.0,1.0,0.49,2.67,2,20,39,5400,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4025,MOL KHAD U/S PALAMPUR,,12.0,21.0,8.6,9.2,,7.3  8.0,74,329,1.0,1.0,0.30,2.04,2,45,13,9200,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4026,MOL KHAD D/S PALAMPUR,,10.0,21.0,8.4,9.3,,7.0  8.2,74,368,1.0,1.0,0.30,2.62,2,45,22,16000,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4038,RIVER TIRTHAN BEFORE CONF. TO RIVER SUTLEJ,,7.0,19.0,7.8,8.5,,7.2  8.0,61,280,1.0,1.0,0.32,4.93,21,79,79,430,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4424,"RAW WATER FOR LWSS OF NAUTI KHAD AT GUMMA 
(BASANTPUR)",,8.0,18.0,7.2,8.1,,7.2  8.3,105,800,1.0,1.0,0.32,2.34,4,220,17,920,2,7,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4432,DHAULI KHAD AT CHARAN GANGA MEDI,,17.0,33.4,6.9,8.0,,7.4  8.3,344,517,1.0,3.0,0.32,5.94,2,6,14,170,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4457,BANER KHAD U/S CHAMUNDA TEMPLE,,16.0,20.0,8.8,9.4,,7.1  8.1,97,201,1.0,1.0,0.48,3.68,2,40,33,16000,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4458,BANER KHAD D/S CHAMUNDA TEMPLE,,16.0,21.0,8.8,9.2,,7.3  8.3,95,187,1.0,1.0,0.57,3.26,2,78,79,16000,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4460,CHARAN KHAND U/S BHAGSUNAG,,12.0,19.0,9.1,9.2,,7.6  8.2,74,197,1.0,1.0,0.30,5.53,2,20,13,3500,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4469,"GAJ  KHAD NEAR WATER SUPPLY SCHEME 
DHARAMSHALA CANTT.",,11.0,18.0,8.8,9.1,,7.7  8.6,67,237,1.0,1.0,0.30,6.43,2,7,11,790,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4470,BATHER KHAD WATER SUPPLY SCHEME AT  DAL LAKE,,10.0,18.0,9.0,9.2,,7.4  8.4,70,196,1.0,1.0,0.30,5.96,2,20,11,1300,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4471,"NEUGAL KHAD NEAR WATER SUPPLY SCHEME AT 
BANDLA, PALAMPUR",,9.0,17.0,8.9,9.6,,7.2  8.0,77,480,1.0,1.0,0.30,4.12,2,20,8,5400,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4488,RIVER RATTA BEFORE CONF. TO RIVER SIRSA,,14.0,23.0,5.8,7.1,,7.5  8.0,615,,1384  1.0,5.4,,1.69  17.26,5,220,34,1600,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,5489,"RIVER BHAWA KHAD AT RESERVIOR SITE OF ALLIAN 
DUHANGAN HEP,PRINI,MANALI",,9.0,9.0,9.6,9.6,,8.3  8.3,87,87,1.0,1.0,0.61,0.61,11,11,26,26,2,2,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 Ml",,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4750,"RIVER SUBARNAREKHA NEAR INTAKE WELL HATIA 
RAILWAY",,11.0,26.0,3.3,4.3,,6.5  6.7,,,2.0,2.8,0.00,0.00,,,,,,,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4752,"RIVER SUBARNAREKHA NEAR OBERIA ROAD BRIDGE, 
HATIA RANCH",,11.0,24.6,3.2,6.5,,3.1  6.7,,,2.1,2.9,0.00,0.00,,,,,,,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,30067,"RIVER SUBARNAREKHA AT BEHRAGORA ODISHA-
JHARKHAND",,28.0,36.0,,7.0  11.5  7.0  9.5,,,157,415,1.0,2.0,0.32,0.36,170,220000,1100,14000000,2,45,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,30068,"RIVER SUBARNAREKHA AT GOPIBALLAVPUR (WEST 
BENGAL)",,25.0,35.0,,6.8  12.5  7.0  8.2,,,153,393,1.0,1.0,0.32,0.37,110,2200000,1400,35000000,2,78,WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,30069,RIVER SUBARNAREKHA AT LAKHANNATH (ORISSA),,24.0,31.0,7.2,9.2,,7.0  8.5,152,334,1.0,1.0,0.32,0.32,170,1100000,1700,28000000,2,78,ODISHA,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4086,"RIVER SUBARNAREKHA U/S HINDALCO IND LTD, MURLI 
WORKS, CHHOTAMURI, RANCHI",,15.0,27.0,7.4,7.9,,6.7  7.4,,,2.0,2.8,0.00,0.00,,,,,,,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4756,"RIVER SUBARNAREKHA AT RUCCA DAM, RUCCA, 
RANCHI",,8.6,23.0,7.6,8.0,,7.2  7.3,,,1.7,3.1,0.00,0.00,,,,,,,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,2423,RIVER BUDHABALANGA AT D/S OF BARIPADA TOWN,,20.0,30.0,5.2,9.2,,7.2  8.4,146,326,1.3,2.2,0.00,0.87,780,4900,2800,17000,5,49,ODISHA,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,3943,RIVER BUDHABALANGA AT BALASORE U/S,,21.0,30.0,5.6,9.6,,6.9  8.5,125,383,1.1,2.4,0.32,0.86,230,2300,1300,4900,,,ODISHA,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,3942,"RIVER SONO AT KANAKDURGA ROAD NEAR REMUNA, 
HATOGOND",,20.0,30.0,3.2,9.6,,6.9  8.5,120,433,1.1,1.8,0.32,0.93,78,13000,490,35000,,,ODISHA,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,2115,"RIVER TAPTI AT NEPA NAGAR 100 METRE D/S AFTER 
MIXING PANDHAR NALLA",,20.0,22.0,6.6,7.7,,7.7  8.6,202,572,1.0,1.8,0.57,1.42,2,2,37,63,,,"MADHYA 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4753,"RIVER HARMU NEAR HARMU BRIDGE, HARMU, RANCHI",,11.0,24.0,2.9,3.6,,6.5  6.6,,,,2.5  11.7  0.00,,0.00,,,,,,,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4754,"RIVER HARMU BEFORE METTING TO SWARNREKHA 
RIVER",,11.4,25.0,3.1,4.8,,6.5  6.7,,,,4.5  11.1  0.00,,0.00,,,,,,,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",,,,,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 Ml",,,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,"CHAKKI KHAD AT LAHROO D/S OF PHINNA SINGH 
IRRIGATION SCHEME",,10.0,16.0,8.8,9.0,,7.3  8.0,125,259,1.0,1.0,,2.68,4,45,350,5400,2,2,"HIMACHAL 
PRADESH",5766,0.73,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,"RIVER GAWKADAL, SRG (SHERGHARI, SRG)",,6.6,25.2,4.7,7.8,,7.4  8.1,149,357,2.3,5.0,,0.00,,,,,,,"JAMMU & 
KASHMIR",1306,0.00,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,"RIVER UHL D/S OF IIT, MANDI",,4.0,23.0,8.5,9.6,,7.1  8.1,62,205,1.0,1.0,,1.01,23,79,170,350,2,2,"HIMACHAL 
PRADESH",5248,0.32,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,SUKETI KHAD D/S SWM SITE AT SUNDER NAGAR,,12.0,27.0,7.0,8.8,,7.1  8.2,210,414,1.0,2.8,,3.25,58,920,280,1600,2,2,"HIMACHAL 
PRADESH",5251,0.49,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,"SEER KHAD U/S INTAKE POINT OF WSS GHUMARWIN 
TOWN",,5.0,32.0,8.2,9.3,,7.2  8.2,185,285,1.0,1.0,,1.83,11,79,33,350,2,2,"HIMACHAL 
PRADESH",5252,0.32,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,"RIVER BHAGGA U/S BEFORE CONFLUENCE TO RIVER 
CHENAB",,3.0,12.0,7.5,8.9,,7.2  8.1,92,225,1.0,1.0,,0.55,23,39,140,280,2,2,"HIMACHAL 
PRADESH",5254,0.32,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,"RIVER CHANDRA U/S BEFORE CONFLUENCE TO RIVER 
CHENAB",,3.0,10.0,7.6,8.5,,7.2  8.1,88,221,1.0,1.0,,0.64,2,39,45,210,2,2,"HIMACHAL 
PRADESH",5255,0.32,,,,,,,,,,,,,,,,,,,,,
table_11.csv,,RIVER CHENAB D/S AT TANDI (L & S),,4.0,12.0,7.6,9.1,,7.2  8.2,87,218,1.0,1.0,,0.95,26,47,170,240,2,2,"HIMACHAL 
PRADESH",5256,0.32,,,,,,,,,,,,,,,,,,,,,
table_12.csv,,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 Ml",,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1491,"RIVER BHAGIRATHI AT GANGOTRI,",,7.0,7.0,,11.0  11.0  8.4  8.4,,,84,84,1.0,1.0,0.32,0.32,2,2,2,2,2,2,UTTARAKHAND,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,5451,RIVER MANDAKINI AT KEDARNATH,,,,10.0  11.4  11.4  8.0  8.0,,,,50,50,1.0,1.0,0.32,0.32,2,2,2,2,2,2,UTTARAKHAND  10.0,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,5452,RIVER ALAKNANDA AT BADRINATH,,,,13.5  11.2  11.2  7.3  7.3,,,,43,43,1.0,1.0,0.32,0.32,2,2,2,2,2,2,UTTARAKHAND  13.5,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1484,"RIVER ALAKNANDA B/C TO RIVER MANDAKINI AT RUDRA 
PRAYAG",,,,17.0  10.0  10.6  7.6  8.3,,,,47,137,1.0,1.0,0.32,0.35,2,2,2,4,2,2,UTTARAKHAND  15.0,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1485,"RIVER MANDAKINI B/C TO RIVER ALKALNADA AT 
RUDRAPRAYAG,",,,17.0,,9.8  10.8  7.6  7.8,,,61,80,1.0,1.0,0.32,0.33,2,2,2,4,2,2,UTTARAKHAND  14.0,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1486,"RIVER ALAKNANDA A/C OF RIVER MANDAKINI AND 
RIVER ALAKNANDA  AT RUDRAPRAYAG",,,,17.0  10.2  10.8  7.4  8.2,,,,58,122,1.0,1.0,0.32,0.33,2,2,2,4,2,2,UTTARAKHAND  14.0,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1487,"RIVER ALAKNANDA B/C TORIVER  BHAGIRATHI AT 
DEVPRAYAG,",,,,19.0  10.0  10.6  7.8  8.3,,,,89,128,1.0,1.0,0.32,0.33,2,2,2,4,2,2,UTTARAKHAND  15.0,,,,,,,,,,,,,,,,,,,,,,,
