SourceFile,StationCode,MonitoringLocation,State,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,Nitrate_Min,Nitrate_Max,FecalColiform_Min,FecalColiform_Max,TotalColiform_Min,TotalColiform_Max,FecalStrepto_Min,FecalStrepto_Max,Temp_Avg,DO_Avg,pH_Avg,Conductivity_Avg,BOD_Avg,Nitrate_Avg,FecalColiform_Avg,TotalColiform_Avg,FecalStrepto_Avg,pH_Risk,DO_Risk,BOD_Risk,Cond_Risk,Nitrate_Risk,TotalColiform_Risk,FecalColiform_Risk,FecalStrepto_Risk,Risk
table_0.csv,1004,RIVER BEAS AT PANDOH DAM,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,2603,"RIVER BEAS, D/S PANDOH DAM","HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1005,RIVER BEAS AT EXIT OF  DEHAR POWER HOUSE,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1550,"BEAS RIVER, U/S OF MANDI TOWN","HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1006,RIVER BEAS D/S MANDI TOWN,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,2604,RIVER BEAS AT D/S JAISINGHPUR,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1007,RIVER BEAS AT D/S ALAMPUR,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,3855,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI","HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1292,"RIVER BEAS AT PONG DAM ,PONG VILLAGE",,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1009,RIVER BEAS AT D/S PONG DAM,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1008,RIVER BEAS AT D/S DEHRAGOPIPUR,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4435,RIVER BEAS U/S SUJANPUR TIHRA,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4436,RIVER BEAS D/S SUJANPUR TIHRA,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4437,RIVER BEAS U/S NADAUM TOWN,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4438,"RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE 
OF MAAN KHAD",,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4443,RIVER BEAS AT RAISON,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,5765,RIVER BEAS D/S NEW BAJAURA BRIDGE,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,30083,RIVER BEAS AT TALWARA (PONG DAM),,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,30084,"RIVER BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1693,"RIVER BEAS AT TALWARA H/W, PUNJAB",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1694,"RIVER BEAS AT U/S PATHANKOT, PUNJAB",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1010,"RIVER BEAS AT MIRTHAL BRIDGE, GURDASPUR",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1695,"RIVER BEAS D/S PATHANKOT, PUNJAB",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1294,"RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT 
MUKERIAN , PUNJAB",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1696,"RIVER BEAS U/S GOINDWAL, PUNJAB",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1697,"RIVER BEAS AT HARIKE, PUNJAB",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1011,"RIVER BEAS AT G.T. ROAD UNDER BDG. NEAR 
KAPURTHALA",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,1012,RIVER BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,4164,"RIVER BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL 
BATALA, GURDASPUR",,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,5504,RIVER BEAS AT  KARMOWALA  VILLAGE,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,5505,RIVER BEAS AT  CHAMBA KALAN,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1.csv,5506,RIVER BEAS AT KAMBOH DAHIWALA,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,3284,RIVER SINDH AT SONAMARG D/S,,"JAMMU & 
KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,3285,RIVER SINDH AT WAIL BRIDGE,,"JAMMU & 
KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,3286,RIVER SINDH AT DUDERHAMA,,"JAMMU & 
KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,3287,"RIVER SINDH AT RANGIL, SRINAGAR",,"JAMMU & 
KASHMIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4023,MANJHI KHAD U/S DHARAMSHALA OF KHANIYARA,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4024,MANJHI KHAD D/S DHARAMSHALA AT CHETRU,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4025,MOL KHAD U/S PALAMPUR,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4026,MOL KHAD D/S PALAMPUR,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4038,RIVER TIRTHAN BEFORE CONF. TO RIVER SUTLEJ,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4424,"RAW WATER FOR LWSS OF NAUTI KHAD AT GUMMA 
(BASANTPUR)",,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4432,DHAULI KHAD AT CHARAN GANGA MEDI,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4457,BANER KHAD U/S CHAMUNDA TEMPLE,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4458,BANER KHAD D/S CHAMUNDA TEMPLE,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4460,CHARAN KHAND U/S BHAGSUNAG,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4469,"GAJ  KHAD NEAR WATER SUPPLY SCHEME 
DHARAMSHALA CANTT.",,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4470,BATHER KHAD WATER SUPPLY SCHEME AT  DAL LAKE,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4471,"NEUGAL KHAD NEAR WATER SUPPLY SCHEME AT 
BANDLA, PALAMPUR",,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,4488,RIVER RATTA BEFORE CONF. TO RIVER SIRSA,,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10.csv,5489,"RIVER BHAWA KHAD AT RESERVIOR SITE OF ALLIAN 
DUHANGAN HEP,PRINI,MANALI",,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4750,"RIVER SUBARNAREKHA NEAR INTAKE WELL HATIA 
RAILWAY",,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4752,"RIVER SUBARNAREKHA NEAR OBERIA ROAD BRIDGE, 
HATIA RANCH",,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,30067,"RIVER SUBARNAREKHA AT BEHRAGORA ODISHA-
JHARKHAND",,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,30068,"RIVER SUBARNAREKHA AT GOPIBALLAVPUR (WEST 
BENGAL)",,WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,30069,RIVER SUBARNAREKHA AT LAKHANNATH (ORISSA),,ODISHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4086,"RIVER SUBARNAREKHA U/S HINDALCO IND LTD, MURLI 
WORKS, CHHOTAMURI, RANCHI",,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4756,"RIVER SUBARNAREKHA AT RUCCA DAM, RUCCA, 
RANCHI",,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,2423,RIVER BUDHABALANGA AT D/S OF BARIPADA TOWN,,ODISHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,3943,RIVER BUDHABALANGA AT BALASORE U/S,,ODISHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,3942,"RIVER SONO AT KANAKDURGA ROAD NEAR REMUNA, 
HATOGOND",,ODISHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,2115,"RIVER TAPTI AT NEPA NAGAR 100 METRE D/S AFTER 
MIXING PANDHAR NALLA",,"MADHYA 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4753,"RIVER HARMU NEAR HARMU BRIDGE, HARMU, RANCHI",,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_100.csv,4754,"RIVER HARMU BEFORE METTING TO SWARNREKHA 
RIVER",,JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1491,"RIVER BHAGIRATHI AT GANGOTRI,",,UTTARAKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,5451,RIVER MANDAKINI AT KEDARNATH,,UTTARAKHAND  10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,5452,RIVER ALAKNANDA AT BADRINATH,,UTTARAKHAND  13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1484,"RIVER ALAKNANDA B/C TO RIVER MANDAKINI AT RUDRA 
PRAYAG",,UTTARAKHAND  15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1485,"RIVER MANDAKINI B/C TO RIVER ALKALNADA AT 
RUDRAPRAYAG,",,UTTARAKHAND  14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1486,"RIVER ALAKNANDA A/C OF RIVER MANDAKINI AND 
RIVER ALAKNANDA  AT RUDRAPRAYAG",,UTTARAKHAND  14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12.csv,1487,"RIVER ALAKNANDA B/C TORIVER  BHAGIRATHI AT 
DEVPRAYAG,",,UTTARAKHAND  15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,1488,"RIVER BHAGIRATHI B/C TO RIVER ALAKNANDA AT 
DEVPRAYAG,DIST-TEHRI GARHWAL",,UTTARAKHAND  16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,1489,"RIVER GANGA AFTER CONFLUENCE OF RIVER 
BHAGIRATHI AND RIVER ALAKNANDA AT DEVPRAYAG 
,DIST-TEFRI GARHWAL",,UTTARAKHAND  15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,5776,"RIVER GANGA AT  SWARG ASHRAM ,RISHIKESH",,UTTARAKHAND  13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,1060,"RIVER GANGA U/S AT LAXMANJHULA,RISHIKESH",,UTTARAKHAND  12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,5777,,,"RIVER GANGA NEAR VISTHAPHIT COLONY, RISHIKESH  UTTARAKHAND  14.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,10147,"RIVER GANGA D/S AT BAIRAAJ,RISHIKESH",,UTTARAKHAND  14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,2725,"RIVER GANGA AFTER CONFLUENCE OF SONG NEAR 
SATYANARAYAN TEMPLE D/S RAIWALA, DEHRADUN",,UTTARAKHAND  13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,10148,RIVER GANGA AT HAR-KI-PAURI GHAT,,UTTARAKHAND  14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,3997,"RIVER GANGA U/S  AT ABINDUGHAT, DUDHIYABAD, 
HARIDWAR",,UTTARAKHAND  16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,1061,"RIVER GANGA  D/S AT BALKUMARI MANDIR, AJEETPUR, 
HARIDWAR",,UTTARAKHAND  17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,5778,"RIVER GANGA NEAR BISHANPUR KUNDI, HARIDWAR",,UTTARAKHAND  18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,2727,"UPPER GANGA CANAL D/S AT ROORKEE, HARIDWAR",,UTTARAKHAND  14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,30005,RIVER GANGA AT SULTANPUR (UTTARAKHAND),,UTTARAKHAND  21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,30006,RIVER GANGA AT BIJNOR (U.P.),,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,10150,"RIVER GANGA AT MADHYA GANGA BARRAGE, BIJNOR",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,5708,"RIVER GANGA TIGRI GANGA GHAT, VILLAGE-TIGARI, 
AMROHA",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,1062,"RIVER GANGA AT D/S GARHMUKTESHWAR, U.P",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,2488,"RIVER GANGA U/S, ANOOPSHAHAR",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,2489,"RIVER GANGA D/S, ANOOPSHAHAR",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,1145,"RIVER GANGA AT NARORA (BULANDSAHAR), U.P.",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,2490,"RIVER GANGA AT KACHHLA GHAT, ALIGARH",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_13.csv,10151,RIVER GANGA AT GHATIYAGHAT FARRUKABAD,,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,1063,"RIVER GANGA AT KANNAUJ U/S (NEAR MEHNDIGHAT 
BRIDGE), U.P",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,1066,"RIVER GANGA AT  DURJANPUR, KANNAUJ D/S, U.P",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,5709,"RIVER GANGAÂ  NANAMAU GANGA BRIDGE, LUCKNOW 
MOHAN-HASANGANJ- RASULABAD MARG, KARTI 
AKBERPUR SENG",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,1146,"RIVER GANGA AT BITHOOR (KANPUR), U.P.",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,10154,RIVER GANGA AT BATHING GHAT (BHARAOGHAT),,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,1067,"RIVER GANGA AT KANPUR U/S (SHUKLAGANJ U/S), U.P",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,10155,RIVER GANGA AT D/S (SHUKLAGANJ),,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,10156,RIVER GANGA AT BATHING GHAT (GOLA GHAT),,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,10157,RIVER GANGA AT BATHING GHAT (JAJMAU BRIDGE),,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,1068,"RIVER GANGA AT KANPUR D/S (JANA VILLAGE), U.P",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,5710,"RIVER GANGA PURANA RAJAPUR, RAJAPUR, KANPUR",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,5711,"RIVER GANGA A/C PANDU RIVER AT MADEVESHWAR 
BABA TAMPLE DEOMAI AHT.",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,1147,"RIVER GANGA AT DALMAU (RAI BAREILLY), U.P.",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,2498,"RIVER GANGA AT KALA KANKAR, RAEBARELI",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,2487,"RIVER GANGA AT KADAGHAT, KAUSHAMABI",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,5713,"RIVER GANGA AT GANGA BRIDGE .NH19, DHEEMI",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,1049,"RIVER GANGA AT PRAYAGRAJ D/S (SANGAM), U.P.",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14.csv,5714,"RIVER GANGA B/CÂ  TAMSA RIVER AT PRACHIN 
SHIVALAYA DUMDUMA GHAT",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,10158,"RIVER GANGA A/C TAMSA RIVER, SIRSA, SON BARSA",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,2485,"RIVER GANGA U/S, VINDHYACHAL, MIRZAPUR",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,2486,"RIVER GANGA D/S, MIRZAPUR",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,10153,RIVER GANGA AT CHUNAR,,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,1070,"RIVER GANGA AT VARANASI U/S NEAR VISHWASUNDARI 
BRIDGE B/C DRAINS( NAGWA NALA, SAMNE GHAT 
NALA,NAKHHI NALA)",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,1071,"RIVER GANGA AT VARANASI D/S , A/C RIVER  VARUNA , 
U.P",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,5715,"RIVER GANGAÂ  B/C GOMTI RIVER AT BALUA GHAT 
BRIDGE, VARANASI",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,10152,"RIVER GANGA A/C GOMTI RIVER, BHUSAULA",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,5716,"RIVER GANGAÂ  ZAMANIA GANGA BRIDGE , ZAMANIZ, 
UP",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,1073,"RIVER GANGA AT TARIGHAT (GHAZIPUR), U.P",,"UTTAR 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,10113,"RIVER GANGA AT U/S JAIL GHAT, BUXAR",,BIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,1074,RIVER GANGA CHUSA AT BUXAR,,BIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,2551,"RIVER GANGA AT BUXAR, RAMREKHAGHAT",,BIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_15.csv,3113,"RIVER GANGA AT D/S BUXAR NEAR VEER KUNWAR 
SINGH ROAD BRIDGE",,BIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
